汉字,漢越語,IPA
困,Khốn,xon5
圻,Kì,ki2
址,Chỉ,tʂi3
坂,Phản,fa:n3
均,Quân,kwɤn1
坊,Phường,fɯɤŋ2
坌,Bộn,bon6
坍,Than,t'a:n1
坎,Khảm,xa:m3
坏,Phôi,foj1
坐,Tọa,twa:6
坑,Khanh,xa:ɲ1
块,Khối,xoj5
壯,Tráng,tʂa:ŋ5
夆,Phùng,fuŋ2
夾,Giáp,ʑa:p7
妊,Nhâm,ɲɤm1
妍,Nghiên,ŋien1
妒,Đố,do5
妓,Kĩ,ki4
妖,Yêu,iew1
妙,Diệu,ziew6
妝,Trang,tʂa:ŋ1
妣,Tỉ,ti3
妤,Dư,zɯ1
妥,Thỏa,t'wa:3
妨,Phương,fɯɤŋ1
姊,Tỉ,ti3
姒,Tự,tɯ6
孚,Phu,fu1
孛,Bột,bot8
孜,Tư,tɯ1
孝,Hiếu,hiew5
宋,Tống,toŋ5
完,Hoàn,hwa:n2
宏,Hoằng,hwaŋ2
尨,Mang,ma:ŋ1
尪,Uông,uoŋ1
尬,Giới,ʑɤ:j5
尾,Vĩ,vi4
尿,Niệu,niew6
局,Cục,kuk8
屁,Thí,t'i5
岐,Kì,ki2
岑,Sầm,ʂɤm2
岔,Xóa,swa:5
岔,Xá,sa:5
巵,Chi,tʂi1
希,Hi,hi1
庇,Tí,ti5
床,Sàng,ʂa:ŋ2
庋,Quỷ,kwi3
庋,Kĩ,ki4
序,Tự,tɯ6
弄,Lộng,loŋ6
弟,Đễ,de4
弟,Đệ,de6
形,Hình,hiɲ2
彤,Đồng,doŋ2
彷,Bàng,ba:ŋ2
彷,Phảng,fa:ŋ3
役,Dịch,ziʧ8
忌,Kị,ki6
忍,Nhẫn,ɲɤn4
忒,Thắc,t'ak7
志,Chí,tʂi5
忘,Vong,vɔŋ1
忡,Xung,suŋ1
忤,Ngỗ,ŋo4
快,Khoái,xwa:j5
忭,Biện,bien6
忮,Kĩ,ki4
忱,Thầm,t'ɤm2
忸,Nữu,nɯw4
忻,Hân,hɤn1
忼,Khảng,xa:ŋ3
我,Ngã,ŋa:4
戒,Giới,ʑɤ:j5
戼,Mão,ma:w4
扭,Nữu,nɯw4
扮,Bán,ba:n5
扯,Xả,sa:3
扳,Ban,ba:n1
扵,Ư,ɯ1
扶,Phù,fu2
批,Phê,fe1
扺,Chỉ,tʂi3
扼,Ách,a:ʧ7
技,Kĩ,ki4
抃,Biện,bien6
抄,Sao,ʂa:w1
抆,Vấn,vɤn5
抉,Quyết,kwiet7
把,Bả,ba:3
抑,Ức,ɯk7
抒,Trữ,tʂɯ4
抓,Trao,tʂa:w1
抓,Trảo,tʂa:w3
抔,Bồi,boj2
投,Đầu,dɤw2
抖,Đẩu,dɤw3
抗,Kháng,xa:ŋ5
折,Chiết,tʂiet7
拋,Phao,fa:w1
拒,Cự,kɯ6
拟,Nghĩ,ŋi4
攸,Du,zu1
改,Cải,ka:j3
攻,Công,koŋ1
旰,Cán,ka:n5
旱,Hạn,ha:n6
更,Canh,ka:ɲ1
更,Cánh,ka:ɲ5
杅,Vu,vu1
杆,Can,ka:n1
杇,Ô,o1
杈,Xoa,swa:1
杉,Sam,ʂa:m1
杌,Ngột,ŋot8
李,Lí,li5
杏,Hạnh,ha:ɲ6
材,Tài,ta:j2
村,Thôn,t'on1
杓,Thược,t'ɯɤk8
杕,Đệ,de6
杖,Trượng,tʂɯɤŋ6
杗,Mang,ma:ŋ1
杙,Dặc,zak8
杜,Đỗ,do4
杞,Kỉ,ki3
束,Thúc,t'uk7
杠,Giang,ʑa:ŋ1
步,Bộ,bo6
每,Mỗi,moj4
求,Cầu,kɤw2
汞,Hống,hoŋ5
汧,Khiên,xien1
汨,Mịch,miʧ8
汩,Cốt,kot7
汪,Uông,uoŋ1
汭,Nhuế,ɲwe5
汰,Thải,t'a:j3
汴,Biện,bien6
汶,Vấn,vɤn5
決,Quyết,kwiet7
汾,Phần,fɤn2
沁,Thấm,t'ɤm5
沂,Nghi,ŋi1
沃,Ốc,ok7
沅,Nguyên,ŋwien1
沆,Hàng,ha:ŋ2
沆,Hãng,ha:ŋ4
沇,Duyện,zwien6
沉,Trầm,tʂɤm2
沌,Độn,don6
沐,Mộc,mok8
沒,Một,mot8
沔,Miện,mien6
沖,Xung,suŋ1
沙,Sa,ʂa:1
沚,Chỉ,tʂi3
沛,Bái,ba:j5
泐,Lặc,lak8
泛,Phiếm,fiem5
灸,Cứu,kɯw5
灼,Chước,tʂɯɤk7
災,Tai,ta:j1
